name,artist,album cover
Dan...,Sheila On 7,https://i.scdn.co/image/ab67616d0000b27354270208627aa8061a8abe21
Messages from the Stars,The Rah Band,https://i.scdn.co/image/ab67616d0000b273777be0adc315d87130c1e211
Fine,Lemon Demon,https://i.scdn.co/image/ab67616d0000b2735d2f39265b6ffeebcae4bfaf
What They Want,Russ,https://i.scdn.co/image/ab67616d0000b273cb045e684adce8d49ada4045
X (feat. Future),21 Savage,https://i.scdn.co/image/ab67616d0000b2732dd1ac4a61495080ef8f78ca
No Heart,21 Savage,https://i.scdn.co/image/ab67616d0000b2732dd1ac4a61495080ef8f78ca
Jungle,A Boogie Wit da Hoodie,https://i.scdn.co/image/ab67616d0000b27370ed76855fb92d540a595463
National Anthem,Lana Del Rey,https://i.scdn.co/image/ab67616d0000b273ebc8cfac8b586bc475b04918
Hell Shell,Young Nudy,https://i.scdn.co/image/ab67616d0000b2733c6ebc51dba29a2cef992c6e
Thiago Silva,Dave,https://i.scdn.co/image/ab67616d0000b273263fee830189352a873d32fe
Stupid Love Story,Canserbero,https://i.scdn.co/image/ab67616d0000b273e30da1080d1bdfcf18f962ea
Pensando en Ti,Canserbero,https://i.scdn.co/image/ab67616d0000b2730f38ea3b0b59d4b59b4da2e6
Everyday Normal Guy 2,Jon Lajoie,https://i.scdn.co/image/ab67616d0000b273ec0a9eea5aa9110401cebaf4
Anchor,Novo Amor,https://i.scdn.co/image/ab67616d0000b273277620423172f5a151f452e3
Only Time,Enya,https://i.scdn.co/image/ab67616d0000b27370dd4e18b9c3431ee7a9b8a1
"Cello Suite No. 1 in G Major, BWV 1007: I. Prélude",Johann Sebastian Bach,https://i.scdn.co/image/ab67616d0000b273cbb64bd416bb225456100bbc
"Sonata No. 14 ""Moonlight"" in C-Sharp Minor"", Op. 27 No. 2: I. Adagio sostenuto",Ludwig van Beethoven,https://i.scdn.co/image/ab67616d0000b2735fbde95caaf1018f9af50f71
Gymnopédie No. 1,Erik Satie,https://i.scdn.co/image/ab67616d0000b273fa24c97b4c8aaf5ccdcccf08
The Great Gig in the Sky,Pink Floyd,https://i.scdn.co/image/ab67616d0000b273ea7caaff71dea1051d49b2fe
"White Noise Sleeping Aid to Help My Baby Fall Asleep, Sleep Through the Night",White Noise Baby Sleep,https://i.scdn.co/image/ab67616d0000b27392283de8621426ca03b8360a
Rue des trois frères,Fabrizio Paterlini,https://i.scdn.co/image/ab67616d0000b27376e7e807387a54a1290294cf
